"inputName","outputName"
"Trifolium depauperatum var. stenophyllum","Trifolium depauperatum var. stenophyllum"
"Trifolium macraei var. dichotomum","Trifolium dichotomum"
"Trifolium douglasii","Trifolium douglasii"
"Trifolium dubium","Trifolium dubium"
"Trifolium echinatum","Trifolium echinatum"
"Trifolium eriocephalum","Trifolium eriocephalum"
"Trifolium eriocephalum var. piperi","Trifolium eriocephalum ssp. arcuatum"
"Trifolium eriocephalum ssp. cascadense","Trifolium eriocephalum ssp. cascadense"
"Trifolium eriocephalum ssp. cusickii","Trifolium eriocephalum ssp. cusickii"
"Trifolium eriocephalum ssp. eriocephalum","Trifolium eriocephalum ssp. eriocephalum"
"Trifolium eriocephalum ssp. martinii","Trifolium eriocephalum ssp. martinii"
"Trifolium eriocephalum var. villiferum","Trifolium eriocephalum ssp. villiferum"
"Trifolium fragiferum","Trifolium fragiferum"
"Trifolium andersonii var. friscanum","Trifolium friscanum"
"Trifolium fucatum","Trifolium fucatum"
"Trifolium glomeratum","Trifolium glomeratum"
"Trifolium gracilentum","Trifolium gracilentum"
"Trifolium gracilentum var. gracilentum","Trifolium gracilentum var. gracilentum"
"Trifolium palmeri","Trifolium gracilentum var. palmeri"
"Trifolium gymnocarpon","Trifolium gymnocarpon"
"Trifolium gymnocarpon var. gymnocarpon","Trifolium gymnocarpon ssp. gymnocarpon"
"Trifolium gymnocarpon var. plummerae","Trifolium gymnocarpon ssp. plummerae"
"Trifolium haydenii var. haydenii","Trifolium haydenii"
"Trifolium hirtum","Trifolium hirtum"
"Trifolium howellii","Trifolium howellii"
"Trifolium hybridum","Trifolium hybridum"
"Trifolium incarnatum","Trifolium incarnatum"
"Trifolium jokerstii","Trifolium jokerstii"
"Trifolium kingii","Trifolium kingii"
"Trifolium kingii ssp. kingii","Trifolium kingii ssp. kingii"
"Trifolium kingii var. macilentum","Trifolium kingii ssp. macilentum"
"Trifolium macilentum","Trifolium kingii ssp. macilentum"
"Trifolium lappaceum","Trifolium lappaceum"
"Trifolium latifolium","Trifolium latifolium"
"Trifolium leibergii","Trifolium leibergii"
"Trifolium lemmonii","Trifolium lemmonii"
"Trifolium longipes","Trifolium longipes"
"Trifolium longipes ssp. atrorubens","Trifolium longipes ssp. atrorubens"
"Trifolium longipes ssp. caurinum","Trifolium longipes ssp. caurinum"
"Trifolium longipes ssp. elmeri","Trifolium longipes ssp. elmeri"
"Trifolium longipes var. hansenii","Trifolium longipes ssp. hansenii"
"Trifolium longipes ssp. longipes","Trifolium longipes ssp. longipes"
"Trifolium longipes var. multipedunculatum","Trifolium longipes ssp. multipedunculatum"
"Trifolium multipedunculatum","Trifolium longipes ssp. multipedunculatum"
"Trifolium longipes ssp. oreganum","Trifolium longipes ssp. oreganum"
"Trifolium longipes ssp. pedunculatum","Trifolium longipes ssp. pedunculatum"
"Trifolium longipes ssp. pygmaeum","Trifolium longipes ssp. pygmaeum"
"Trifolium longipes var. reflexum","Trifolium longipes ssp. reflexum"
"Trifolium longipes ssp. shastense","Trifolium longipes ssp. shastense"
"Trifolium lupinaster","Trifolium lupinaster"
"Trifolium macraei","Trifolium macraei"
"Trifolium macrocephalum","Trifolium macrocephalum"
"Trifolium medium","Trifolium medium"
"Trifolium micranthum","Trifolium micranthum"
"Trifolium microcephalum","Trifolium microcephalum"
"Trifolium microdon","Trifolium microdon"
"Trifolium monanthum","Trifolium monanthum"
"Trifolium monanthum ssp. grantianum","Trifolium monanthum ssp. grantianum"
"Trifolium monanthum ssp. monanthum","Trifolium monanthum ssp. monanthum"
"Trifolium monanthum ssp. parvum","Trifolium monanthum ssp. parvum"
"Trifolium monanthum ssp. tenerum","Trifolium monanthum ssp. tenerum"
"Trifolium mucronatum","Trifolium mucronatum"
"Trifolium wormskioldii var. arizonicum","Trifolium mucronatum ssp. lacerum"
"Trifolium wormskjoldii var. arizonicum","Trifolium mucronatum ssp. lacerum"
"Trifolium nanum","Trifolium nanum"
"Trifolium longipes var. neurophyllum","Trifolium neurophyllum"
"Trifolium nigrescens","Trifolium nigrescens"
"Trifolium obtusiflorum","Trifolium obtusiflorum"
"Trifolium oliganthum","Trifolium oliganthum"
"Trifolium olivaceum","Trifolium olivaceum"
"Trifolium ornithopodioides","Trifolium ornithopodioides"
"Trifolium owyheense","Trifolium owyheense"
"Trifolium pannonicum","Trifolium pannonicum"
"Trifolium parryi","Trifolium parryi"
"Trifolium parryi var. montanense","Trifolium parryi ssp. montanense"
"Trifolium parryi var. parryi","Trifolium parryi ssp. parryi"
"Trifolium parryi ssp. salictorum","Trifolium parryi ssp. salictorum"
"Trifolium pinetorum","Trifolium pinetorum"
"Trifolium plumosum","Trifolium plumosum"
"Trifolium plumosum var. amplifolium","Trifolium plumosum ssp. amplifolium"
"Trifolium plumosum var. plumosum","Trifolium plumosum ssp. plumosum"
"Trifolium polymorphum","Trifolium polymorphum"
"Trifolium polyodon","Trifolium polyodon"
"Trifolium pratense","Trifolium pratense"
"Trifolium productum","Trifolium productum"
"Trifolium purpureum","Trifolium purpureum"
"Trifolium reflexum","Trifolium reflexum"
"Trifolium repens","Trifolium repens"
"Trifolium resupinatum","Trifolium resupinatum"
"Trifolium macilentum var. rollinsii","Trifolium rollinsii"
"Trifolium scabrum","Trifolium scabrum"
"Trifolium wormskioldii var. siskiyouense","Trifolium siskiyouense"
"Trifolium sonorense","Trifolium sonorense"
"Trifolium squamosum","Trifolium squamosum"
"Trifolium stoloniferum","Trifolium stoloniferum"
"Trifolium striatum","Trifolium striatum"
"Trifolium subterraneum","Trifolium subterraneum"
"Trifolium thompsonii","Trifolium thompsonii"
"Trifolium tomentosum","Trifolium tomentosum"
"Trifolium trichocalyx","Trifolium trichocalyx"
"Trifolium variegatum","Trifolium variegatum"
"Trifolium vesiculosum","Trifolium vesiculosum"
"Trifolium virginicum","Trifolium virginicum"
"Trifolium willdenovii","Trifolium willdenowii"
"Trifolium wormskjoldii","Trifolium wormskioldii"
"Trigonella caerulea","Trigonella caerulea"
"Trigonella corniculata","Trigonella corniculata"
"Trigonella foenum-graecum","Trigonella foenum-graecum"
"Trigonella procumbens","Trigonella procumbens"
"Haplopappus aberrans","Triniteurybia aberrans"
"Tonestus aberrans","Triniteurybia aberrans"
"Triodanis coloradoensis","Triodanis coloradoensis"
"Specularia holzingeri","Triodanis holzingeri"
"Specularia lamprosperma","Triodanis lamprosperma"
"Triodanis leptocarpa","Triodanis leptocarpa"
"Triodanis perfoliata","Triodanis perfoliata"
"Triodanis biflora","Triodanis perfoliata var. biflora"
"Triodanis perfoliata ssp. biflora","Triodanis perfoliata var. biflora"
"Legousia perfoliata","Triodanis perfoliata var. perfoliata"
"Specularia perfoliata","Triodanis perfoliata var. perfoliata"
"Triodanis perfoliata","Triodanis perfoliata var. perfoliata"
"Triodanis perfoliata ssp. perfoliata","Triodanis perfoliata var. perfoliata"
"Triodanis texana","Triodanis texana"
"Triosteum angustifolium","Triosteum angustifolium"
"Triosteum aurantiacum","Triosteum aurantiacum"
"Triosteum perfoliatum var. aurantiacum","Triosteum aurantiacum var. aurantiacum"
"Triosteum aurantiacum var. glaucescens","Triosteum aurantiacum var. glaucescens"
"Triosteum aurantiacum var. illinoense","Triosteum aurantiacum var. illinoense"
"Triosteum perfoliatum","Triosteum perfoliatum"
"Triphasia trifolia","Triphasia trifolia"
"Triphysaria eriantha","Triphysaria eriantha"
"Triphysaria eriantha ssp. eriantha","Triphysaria eriantha ssp. eriantha"
"Triphysaria eriantha ssp. rosea","Triphysaria eriantha ssp. rosea"
"Orthocarpus floribundus","Triphysaria floribunda"
"Triphysaria micrantha","Triphysaria micrantha"
"Orthocarpus pusillus","Triphysaria pusilla"
"Triphysaria versicolor","Triphysaria versicolor"
"Orthocarpus faucibarbatus","Triphysaria versicolor ssp. faucibarbatus"
"Orthocarpus faucibarbatus ssp. albidus","Triphysaria versicolor ssp. versicolor"
"Matricaria maritima","Tripleurospermum maritima"
"Tripleurospermum maritimum","Tripleurospermum maritima"
"Matricaria maritima ssp. maritima","Tripleurospermum maritima ssp. maritima"
"Tripleurospermum maritimum ssp. maritimum","Tripleurospermum maritima ssp. maritima"
"Matricaria ambigua","Tripleurospermum maritima ssp. phaeocephala"
"Matricaria maritima ssp. phaeocephala","Tripleurospermum maritima ssp. phaeocephala"
"Tripleurospermum maritimum ssp. phaeocephalum","Tripleurospermum maritima ssp. phaeocephala"
"Tripleurospermum phaeocephalum","Tripleurospermum maritima ssp. phaeocephala"
"Matricaria perforata","Tripleurospermum perforata"
"Tripleurospermum perforatum","Tripleurospermum perforata"
"Aster tripolium","Tripolium pannonicum"
"Tripterocalyx carnea","Tripterocalyx carneus"
"Tripterocalyx carnea var. carnea","Tripterocalyx carneus"
"Tripterocalyx crux-maltae","Tripterocalyx crux-maltae"
"Abronia micrantha","Tripterocalyx micranthus"
"Tripterocalyx carnea var. wootonii","Tripterocalyx wootonii"
"Triumfetta pentandra","Triumfetta pentandra"
"Triumfetta rhomboidea","Triumfetta rhomboidea"
"Triumfetta semitriloba","Triumfetta semitriloba"
"Trixis californica","Trixis californica"
"Trixis inula","Trixis inula"
"Trollius laxus ssp. albiflorus","Trollius albiflorus"
"Trollius laxus var. albiflorus","Trollius albiflorus"
"Trollius europaeus","Trollius europaeus"
"Trollius laxus ssp. laxus","Trollius laxus"
"Trollius membranostylis","Trollius riederianus"
"Tropaeolum majus","Tropaeolum majus"
"Twisselmannia californica","Tropidocarpum californicum"
"Tropidocarpum capparideum","Tropidocarpum capparideum"
"Tropidocarpum gracile","Tropidocarpum gracile"
"Tuberaria guttata","Tuberaria guttata"
"Tumamoca macdougalii","Tumamoca macdougalii"
"Turgenia latifolia","Turgenia latifolia"
"Turnera diffusa","Turnera diffusa"
"Turnera diffusa var. aphrodisiaca","Turnera diffusa var. aphrodisiaca"
"Turnera ulmifolia","Turnera ulmifolia"
"Turricula parryi","Turricula parryi"
"Arabis glabra","Turritis glabra"
"Tussilago farfara","Tussilago farfara"
"Ulex europaeus","Ulex europaeus"
"Ulmus alata","Ulmus alata"
"Ulmus americana","Ulmus americana"
"Ulmus crassifolia","Ulmus crassifolia"
"Ulmus glabra","Ulmus glabra"
"Ulmus parvifolia","Ulmus parvifolia"
"Ulmus procera","Ulmus procera"
"Ulmus pumila","Ulmus pumila"
"Ulmus fulva","Ulmus rubra"
"Ulmus serotina","Ulmus serotina"
"Ulmus thomasi","Ulmus thomasii"
"Tetranthera californica","Umbellularia californica"
"Ungnadia speciosa","Ungnadia speciosa"
"Urena lobata","Urena lobata"
"Urera sandvicensis","Urera glabra"
"Urera kaalae","Urera kaalae"
"Urospermum picroides","Urospermum picroides"
"Urtica chamaedryoides","Urtica chamaedryoides"
"Urtica dioica","Urtica dioica"
"Urtica dioica var. dioica","Urtica dioica ssp. dioica"
"Urtica dioica var. gracilis","Urtica dioica ssp. gracilis"
"Urtica dioica var. procera","Urtica dioica ssp. gracilis"
"Urtica gracilis","Urtica dioica ssp. gracilis"
"Urtica gracilis ssp. gracilis","Urtica dioica ssp. gracilis"
"Urtica dioica var. occidentalis","Urtica dioica ssp. holosericea"
"Urtica gracilis ssp. holosericea","Urtica dioica ssp. holosericea"
"Urtica gracilenta","Urtica gracilenta"
"Urtica urens","Urtica urens"
"Urvillea ulmacea","Urvillea ulmacea"
"Utricularia amethystina","Utricularia amethystina"
"Utricularia cornuta","Utricularia cornuta"
"Utricularia floridana","Utricularia floridana"
"Utricularia foliosa","Utricularia foliosa"
"Utricularia geminiscapa","Utricularia geminiscapa"
"Utricularia gibba","Utricularia gibba"
"Utricularia inflata","Utricularia inflata"
"Utricularia intermedia","Utricularia intermedia"
"Utricularia juncea","Utricularia juncea"
"Utricularia vulgaris ssp. macrorhiza","Utricularia macrorhiza"
"Utricularia minor","Utricularia minor"
"Utricularia x ochroleuca","Utricularia ochroleuca"
"Utricularia olivacea","Utricularia olivacea"
"Utricularia purpurea","Utricularia purpurea"
"Utricularia inflata var. minor","Utricularia radiata"
"Utricularia resupinata","Utricularia resupinata"
"Utricularia simulans","Utricularia simulans"
"Utricularia striata","Utricularia striata"
"Utricularia subulata","Utricularia subulata"
"Utricularia tenuicaulis","Utricularia tenuicaulis"
"Gypsophila vaccaria","Vaccaria hispanica"
"Saponaria vaccaria","Vaccaria hispanica"
"Vaccaria pyramidata","Vaccaria hispanica"
"Vaccinium angustifolium","Vaccinium angustifolium"
"Vaccinium arboreum","Vaccinium arboreum"
"Vaccinium boreale","Vaccinium boreale"
"Vaccinium caesariense","Vaccinium caesariense"
"Vaccinium cespitosum","Vaccinium caespitosum"
"Vaccinium cespitosum var. cespitosum","Vaccinium caespitosum var. caespitosum"
"Vaccinium cespitosum var. paludicola","Vaccinium caespitosum var. paludicola"
"Vaccinium calycinum","Vaccinium calycinum"
"Vaccinium corymbosum","Vaccinium corymbosum"
"Vaccinium crassifolium","Vaccinium crassifolium"
"Vaccinium crassifolium ssp. crassifolium","Vaccinium crassifolium ssp. crassifolium"
"Vaccinium sempervirens","Vaccinium crassifolium ssp. sempervirens"
"Vaccinium darrowii","Vaccinium darrowii"
"Vaccinium deliciosum","Vaccinium deliciosum"
"Vaccinium dentatum","Vaccinium dentatum"
"Vaccinium elliottii","Vaccinium elliottii"
"Vaccinium erythrocarpum","Vaccinium erythrocarpum"
"Vaccinium formosum","Vaccinium formosum"
"Vaccinium fuscatum","Vaccinium fuscatum"
"Vaccinium geminiflorum","Vaccinium geminiflorum"
"Vaccinium hirsutum","Vaccinium hirsutum"
"Oxycoccus macrocarpus","Vaccinium macrocarpon"
"Vaccinium membranaceum","Vaccinium membranaceum"
"Vaccinium myrsinites","Vaccinium myrsinites"
"Vaccinium myrtilloides","Vaccinium myrtilloides"
"Vaccinium myrtillus","Vaccinium myrtillus"
"Vaccinium myrtillus var. oreophilum","Vaccinium myrtillus var. oreophilum"
"Vaccinium ovalifolium","Vaccinium ovalifolium"
"Vaccinium ovatum","Vaccinium ovatum"
"Oxycoccus oxycoccos","Vaccinium oxycoccos"
"Oxycoccus palustris","Vaccinium oxycoccos"
"Vaccinium vacillans","Vaccinium pallidum"
"Vaccinium vacillans var. missouriense","Vaccinium pallidum"
"Vaccinium parvifolium","Vaccinium parvifolium"
"Vaccinium reticulatum","Vaccinium reticulatum"
"Vaccinium scoparium","Vaccinium scoparium"
"Vaccinium shastense","Vaccinium shastense"
"Vaccinium shastense ssp. nevadense","Vaccinium shastense ssp. nevadense"
"Vaccinium shastense ssp. shastense","Vaccinium shastense ssp. shastense"
"Vaccinium simulatum","Vaccinium simulatum"
"Vaccinium stamineum","Vaccinium stamineum"
"Vaccinium tenellum","Vaccinium tenellum"
"Vaccinium occidentale","Vaccinium uliginosum"
"Vaccinium virgatum","Vaccinium virgatum"
"Vaccinium vitis-idaea","Vaccinium vitis-idaea"
"Vaccinium vitis-idaea var. minus","Vaccinium vitis-idaea ssp. minus"
"Vaccinium x atlanticum","Vaccinium x atlanticum"
"Vaccinium x carolinianum","Vaccinium x carolinianum"
"Vaccinium x dobbinii","Vaccinium x dobbinii"
"Vaccinium x margarettiae","Vaccinium x margarettiae"
"Vaccinium x marianum","Vaccinium x marianum"
"Vaccinium x nubigenum","Vaccinium x nubigenum"
"Acacia schaffneri var. bravoensis","Vachellia bravoensis"
"Acacia choriophylla","Vachellia choriophylla"
"Acacia constricta","Vachellia constricta"
"Acacia cornigera","Vachellia cornigera"
"Acacia macracantha","Vachellia macracantha"
"Acacia rigidula","Vachellia rigidula"
"Acacia schottii","Vachellia schottii"
"Acacia sphaerocephala","Vachellia sphaerocephala"
"Acacia tortuosa","Vachellia tortuosa"
"Acacia neovernicosa","Vachellia vernicosa"
"Valeriana acutiloba","Valeriana acutiloba"
"Valeriana acutiloba var. acutiloba","Valeriana acutiloba var. acutiloba"
"Valeriana pubicarpa","Valeriana acutiloba var. pubicarpa"
"Valeriana arizonica","Valeriana arizonica"
"Valeriana californica","Valeriana californica"
"Valeriana capitata","Valeriana capitata"
"Valeriana columbiana","Valeriana columbiana"
"Valeriana dioica","Valeriana dioica"
"Valeriana dioica ssp. sylvatica","Valeriana dioica var. sylvatica"
"Valeriana septentrionalis","Valeriana dioica var. sylvatica"
"Valeriana edulis","Valeriana edulis"
"Valeriana ciliata","Valeriana edulis var. ciliata"
"Valeriana edulis ssp. ciliata","Valeriana edulis var. ciliata"
"Valeriana edulis ssp. edulis","Valeriana edulis var. edulis"
"Valeriana occidentalis","Valeriana occidentalis"
"Valeriana officinalis","Valeriana officinalis"
"Valeriana pauciflora","Valeriana pauciflora"
"Valeriana scandens","Valeriana scandens"
"Valeriana scandens var. scandens","Valeriana scandens var. scandens"
"Valeriana scouleri","Valeriana scouleri"
"Valeriana sitchensis","Valeriana sitchensis"
"Valeriana sorbifolia","Valeriana sorbifolia"
"Valeriana texana","Valeriana texana"
"Valeriana sitchensis ssp. uliginosa","Valeriana uliginosa"
"Valerianella amarella","Valerianella amarella"
"Valerianella carinata","Valerianella carinata"
"Valerianella chenopodifolia","Valerianella chenopodiifolia"
"Valerianella dentata","Valerianella dentata"
"Valerianella florifera","Valerianella florifera"
"Valerianella locusta","Valerianella locusta"
"Valerianella longiflora","Valerianella longiflora"
"Valerianella nuttallii","Valerianella nuttallii"
"Valerianella bushii","Valerianella ozarkana"
"Valerianella palmeri","Valerianella palmeri"
"Valerianella radiata var. fernaldii","Valerianella radiata"
"Valerianella stenocarpa","Valerianella stenocarpa"
"Valerianella texana","Valerianella texana"
"Valerianella intermedia","Valerianella umbilicata"
"Valerianella woodsiana","Valerianella woodsiana"
"Vallesia antillana","Vallesia antillana"
"Vallesia glabra","Vallesia glabra"
"Chrysothamnus stylosus","Vanclevea stylosa"
"Vancouveria chrysantha","Vancouveria chrysantha"
"Epimedium hexandrum","Vancouveria hexandra"
"Vancouveria planipetala","Vancouveria planipetala"
"Varilla texana","Varilla texana"
"Cordia bahamensis","Varronia bahamensis"
"Cordia bellonis","Varronia bellonis"
"Cordia globosa var. humilis","Varronia humilis"
"Varronia bullata ssp. humilis","Varronia humilis"
"Cordia podocephala","Varronia podocephala"
"Cordia rupicola","Varronia rupicola"
"Cordia wagneriorum","Varronia wagnerorum"
"Cordia wagnerorum","Varronia wagnerorum"
"Vauquelinia californica","Vauquelinia californica"
"Vauquelinia californica ssp. californica","Vauquelinia californica ssp. californica"
"Vauquelinia pauciflora","Vauquelinia californica ssp. pauciflora"
"Vauquelinia californica ssp. sonorensis","Vauquelinia californica ssp. sonorensis"
"Vauquelinia corymbosa","Vauquelinia corymbosa"
"Vauquelinia angustifolia","Vauquelinia corymbosa ssp. angustifolia"
"Velezia rigida","Velezia rigida"
"Venegasia carpesioides","Venegasia carpesioides"
"Arctotis fastuosa","Venidium fastuosum"
"Verbascum blattaria","Verbascum blattaria"
"Verbascum densiflorum","Verbascum densiflorum"
"Verbascum lychnitis","Verbascum lychnitis"
"Verbascum nigrum","Verbascum nigrum"
"Verbascum phlomoides","Verbascum phlomoides"
"Verbascum phoeniceum","Verbascum phoeniceum"
"Verbascum sinuatum","Verbascum sinuatum"
"Verbascum speciosum","Verbascum speciosum"
"Verbascum thapsus","Verbascum thapsus"
"Verbascum virgatum","Verbascum virgatum"
"Verbascum x kerneri","Verbascum x kerneri"
"Verbascum x pterocaulon","Verbascum x pterocaulon"
"Verbascum x spurium","Verbascum x spurium"
"Verbena abramsii","Verbena abramsii"
"Verbena bonariensis","Verbena bonariensis"
"Verbena bonariensis var. bonariensis","Verbena bonariensis var. bonariensis"
"Verbena bonariensis var. conglomerata","Verbena bonariensis var. conglomerata"
"Verbena bracteata","Verbena bracteata"
"Verbena brasiliensis","Verbena brasiliensis"
"Verbena californica","Verbena californica"
"Verbena canescens","Verbena canescens"
"Verbena carolina","Verbena carolina"
"Verbena cloverae","Verbena cloverae"
"Verbena ehrenbergiana","Verbena ehrenbergiana"
"Verbena gracilis","Verbena gracilis"
"Verbena halei","Verbena halei"
"Verbena hastata","Verbena hastata"
"Verbena hastata var. hastata","Verbena hastata var. hastata"
"Verbena hastata var. scabra","Verbena hastata var. scabra"
"Verbena lasiostachys","Verbena lasiostachys"
"Verbena litoralis","Verbena litoralis"
"Verbena macdougalii","Verbena macdougalii"
"Verbena menthifolia","Verbena menthifolia"
"Verbena montevidensis","Verbena montevidensis"
"Verbena neomexicana","Verbena neomexicana"
"Verbena neomexicana var. hirtella","Verbena neomexicana var. hirtella"
"Verbena neomexicana var. neomexicana","Verbena neomexicana var. neomexicana"
"Verbena neomexicana var. xylopoda","Verbena neomexicana var. xylopoda"
"Verbena officinalis","Verbena officinalis"
"Verbena officinalis var. officinalis","Verbena officinalis var. officinalis"
"Verbena officinalis var. prostrata","Verbena officinalis var. prostrata"
"Verbena perennis","Verbena perennis"
"Verbena pinetorum","Verbena pinetorum"
"Verbena plicata","Verbena plicata"
"Verbena rigida","Verbena rigida"
"Verbena riparia","Verbena riparia"
"Verbena robusta","Verbena robusta"
"Verbena runyonii","Verbena runyonii"
"Verbena scabra","Verbena scabra"
"Verbena simplex","Verbena simplex"
"Verbena stricta","Verbena stricta"
"Verbena urticifolia","Verbena urticifolia"
"Verbena urticifolia var. incarnata","Verbena urticifolia var. incarnata"
"Verbena urticifolia var. leiocarpa","Verbena urticifolia var. leiocarpa"
"Verbena urticifolia var. simplex","Verbena urticifolia var. simplex"
"Verbena urticifolia var. urticifolia","Verbena urticifolia var. urticifolia"
"Verbena x allenii","Verbena x allenii"
"Verbena x blanchardii","Verbena x blanchardii"
"Verbena x clemensiorum","Verbena x clemensiorum"
"Verbena x deamii","Verbena x deamii"
"Verbena x engelmannii","Verbena x engelmannii"
"Verbena x illicita","Verbena x illicita"
"Verbena x moechina","Verbena x moechina"
"Verbena x perriana","Verbena x perriana"
"Verbena x paniculatistricta","Verbena x rydbergii"
"Verbena xutha","Verbena xutha"
"Actinomeris alternifolia","Verbesina alternifolia"
"Verbesina aristata","Verbesina aristata"
"Verbesina chapmanii","Verbesina chapmanii"
"Verbesina dissita","Verbesina dissita"
"Verbesina encelioides","Verbesina encelioides"
"Verbesina encelioides ssp. encelioides","Verbesina encelioides ssp. encelioides"
"Verbesina encelioides var. exauriculata","Verbesina encelioides ssp. exauriculata"
"Verbesina helianthoides","Verbesina helianthoides"
"Verbesina heterophylla","Verbesina heterophylla"
"Verbesina lindheimeri","Verbesina lindheimeri"
"Verbesina longifolia","Verbesina longifolia"
"Verbesina microptera","Verbesina microptera"
"Verbesina nana","Verbesina nana"
"Verbesina occidentalis","Verbesina occidentalis"
"Verbesina oreophila","Verbesina oreophila"
"Verbesina rothrockii","Verbesina rothrockii"
"Verbesina virginica","Verbesina virginica"
"Verbesina laciniata","Verbesina virginica var. laciniata"
"Verbesina virginica var. virginica","Verbesina virginica var. virginica"
"Verbesina walteri","Verbesina walteri"
"Aleurites fordii","Vernicia fordii"
"Vernonia acaulis","Vernonia acaulis"
"Vernonia angustifolia","Vernonia angustifolia"
"Vernonia angustifolia var. angustifolia","Vernonia angustifolia ssp. angustifolia"
"Vernonia angustifolia ssp. mohrii","Vernonia angustifolia ssp. mohrii"
"Vernonia angustifolia var. scaberrima","Vernonia angustifolia ssp. scaberrima"
"Vernonia arkansana","Vernonia arkansana"
"Vernonia baldwinii","Vernonia baldwinii"
"Vernonia baldwinii var. baldwinii","Vernonia baldwinii ssp. baldwinii"
"Vernonia baldwinii ssp. interior","Vernonia baldwinii ssp. interior"
"Vernonia blodgettii","Vernonia blodgettii"
"Vernonia cinerea","Vernonia cinerea"
"Vernonia fasciculata","Vernonia fasciculata"
"Vernonia fasciculata var. corymbosa","Vernonia fasciculata ssp. corymbosa"
"Vernonia fasciculata var. fasciculata","Vernonia fasciculata ssp. fasciculata"
"Vernonia flaccidifolia","Vernonia flaccidifolia"
"Vernonia gigantea","Vernonia gigantea"
"Vernonia altissima","Vernonia gigantea ssp. gigantea"
"Vernonia gigantea ssp. ovalifolia","Vernonia gigantea ssp. ovalifolia"
"Vernonia glauca","Vernonia glauca"
"Vernonia larseniae","Vernonia larsenii"
"Vernonia lettermanii","Vernonia lettermannii"
"Vernonia lindheimeri","Vernonia lindheimeri"
"Vernonia marginata","Vernonia marginata"
"Vernonia missurica","Vernonia missurica"
"Vernonia noveboracensis","Vernonia noveboracensis"
"Vernonia proctorii","Vernonia proctorii"
"Vernonia pulchella","Vernonia pulchella"
"Vernonia texana","Vernonia texana"
"Vernonia x concinna","Vernonia x concinna"
"Vernonia x dissimilis","Vernonia x dissimilis"
"Vernonia x georgiana","Vernonia x georgiana"
"Vernonia x guadalupensis","Vernonia x guadalupensis"
"Vernonia x illinoensis","Vernonia x illinoensis"
"Veronica agrestis","Veronica agrestis"
"Veronica alpina","Veronica alpina"
"Veronica beccabunga ssp. americana","Veronica americana"
"Veronica beccabunga var. americana","Veronica americana"
"Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"Veronica arvensis","Veronica arvensis"
"Veronica austriaca","Veronica austriaca"
"Veronica austriaca var. teucrium","Veronica austriaca ssp. teucrium"
"Veronica teucrium","Veronica austriaca ssp. teucrium"
"Veronica beccabunga ssp. beccabunga","Veronica beccabunga"
"Veronica biloba","Veronica biloba"
"Veronica chamaedrys","Veronica chamaedrys"
"Veronica copelandii","Veronica copelandii"
"Veronica crinita","Veronica crinita"
"Veronica cusickii","Veronica cusickii"
"Veronica cymbalaria","Veronica cymbalaria"
"Veronica dillenii","Veronica dillenii"
"Veronica filiformis","Veronica filiformis"
"Veronica glandifera","Veronica grandiflora"
"Veronica grandis","Veronica grandis"
"Veronica hederifolia","Veronica hederifolia"
"Veronica longifolia","Veronica longifolia"
"Veronica officinalis","Veronica officinalis"
"Veronica peregrina","Veronica peregrina"
"Veronica peregrina var. peregrina","Veronica peregrina ssp. peregrina"
"Veronica peregrina var. xalapensis","Veronica peregrina ssp. xalapensis"
"Veronica sherwoodii","Veronica peregrina ssp. xalapensis"
"Veronica persica","Veronica persica"
"Veronica persica var. aschersoniana","Veronica persica var. aschersoniana"
"Veronica persica var. corrensiana","Veronica persica var. corrensiana"
"Veronica persica var. persica","Veronica persica var. persica"
"Veronica plebia","Veronica plebia"
"Veronica polita","Veronica polita"
"Veronica scutellata","Veronica scutellata"
"Veronica serpyllifolia","Veronica serpyllifolia"
"Veronica serpyllifolia var. humifusa","Veronica serpyllifolia ssp. humifusa"
"Veronica serpyllifolia var. serpyllifolia","Veronica serpyllifolia ssp. serpyllifolia"
"Veronica spicata","Veronica spicata"
"Veronica incana","Veronica spicata ssp. incana"
"Veronica spicata ssp. spicata","Veronica spicata ssp. spicata"
"Veronica sublobata","Veronica sublobata"
"Veronica triphyllos","Veronica triphyllos"
"Veronica verna","Veronica verna"
"Veronica alpina var. unalaschcensis","Veronica wormskjoldii"
"Veronica stelleri","Veronica wormskjoldii var. stelleri"
"Veronica alpina var. unalaschcensis","Veronica wormskjoldii var. wormskjoldii"
"Veronica wormskjoldii ssp. wormskjoldii","Veronica wormskjoldii var. wormskjoldii"
"Veronicastrum virginicum","Veronicastrum virginicum"
"Artemisia potentilloides","Vesicarpa potentilloides"
"Sphaeromeria potentilloides","Vesicarpa potentilloides"
"Artemisia potentilloides var. nitrophila","Vesicarpa potentilloides var. nitrophilum"
"Sphaeromeria potentilloides var. nitrophila","Vesicarpa potentilloides var. nitrophilum"
"Artemisia potentilloides var. potentilloides","Vesicarpa potentilloides var. potentilloides"
"Sphaeromeria potentilloides var. potentilloides","Vesicarpa potentilloides var. potentilloides"
"Cymopterus bulbosus","Vesper bulbosus"
"Cymopterus constancei","Vesper constancei"
"Cymopterus macrorhizus","Vesper macrorhizus"
"Cymopterus montanus","Vesper montanus"
"Cymopterus multinervatus","Vesper multinervatus"
"Cymopterus purpurascens","Vesper purpurascens"
